Biological Process	Number of genes
dicarboxylic acid transport	4
regulation of fibroblast proliferation	4
regulation of cyclin-dependent protein serine/threonine kinase activity	4
negative regulation of myeloid cell differentiation	4
fibroblast proliferation	4
cell-substrate junction assembly	4
phagocytosis, engulfment	4
post-embryonic development	4
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process	4
response to antineoplastic agent	4
antigen processing and presentation of peptide antigen via MHC class I	4
regulation of glucose metabolic process	4
T cell activation involved in immune response	4
female gonad development	4
positive regulation of T cell proliferation	4
vesicle budding from membrane	4
neurotransmitter biosynthetic process	4
positive regulation of actin filament polymerization	4
negative regulation of T cell activation	4
interleukin-1-mediated signaling pathway	4
actin cytoskeleton reorganization	4
development of primary female sexual characteristics	4
heart growth	4
positive regulation of muscle cell differentiation	4
postsynapse organization	4
regulation of protein localization to nucleus	4
alpha-amino acid catabolic process	4
endothelial cell differentiation	4
establishment of protein localization to endoplasmic reticulum	4
positive regulation of protein ubiquitination	4
positive regulation of cell-substrate adhesion	4
regulation of complement activation	4
regulation of protein activation cascade	4
cerebral cortex development	4
regulation of phosphoprotein phosphatase activity	4
fatty acid catabolic process	4
regulation of transforming growth factor beta receptor signaling pathway	4
cell aging	4
negative regulation of cysteine-type endopeptidase activity	4
negative regulation of leukocyte cell-cell adhesion	4
regulation of cellular response to transforming growth factor beta stimulus	4
myelination	4
ensheathment of neurons	4
axon ensheathment	4
acid secretion	4
calcium ion regulated exocytosis	4
regulation of mRNA processing	4
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	4
cellular amino acid catabolic process	4
regulation of transcription from RNA polymerase II promoter in response to stress	4
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	4
lipid homeostasis	4
protein O-linked glycosylation	4
stimulatory C-type lectin receptor signaling pathway	4
endothelium development	4
positive regulation of inflammatory response	4
regulation of DNA-templated transcription in response to stress	4
NIK/NF-kappaB signaling	4
regulation of response to biotic stimulus	4
regulation of protein dephosphorylation	4
negative regulation of inflammatory response	4
regulation of tube diameter	4
regulation of blood vessel diameter	4
immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	4
Fc-gamma receptor signaling pathway involved in phagocytosis	4
monocarboxylic acid catabolic process	4
regulation of Rho protein signal transduction	4
translational elongation	4
Fc-gamma receptor signaling pathway	4
Fc receptor mediated stimulatory signaling pathway	4
regulation of lipid localization	4
regulation of smooth muscle cell proliferation	4
nucleus organization	4
immunoglobulin production	4
spermatid differentiation	4
regulation of JAK-STAT cascade	4
regulation of STAT cascade	4
vesicle fusion	4
regulation of phosphatase activity	4
organelle membrane fusion	4
negative regulation of MAPK cascade	4
cellular response to lipopolysaccharide	4
Fc-epsilon receptor signaling pathway	4
electron transport chain	4
organelle fusion	4
regulation of dephosphorylation	4
facial nerve development	4
facial nerve morphogenesis	4
lens morphogenesis in camera-type eye	4
negative regulation of telomere maintenance via telomere lengthening	4
negative regulation of telomere maintenance	4
muscle filament sliding	4
actin-myosin filament sliding	4
neuroepithelial cell differentiation	4
cellular defense response	4
monocyte chemotaxis	4
regulation of osteoclast differentiation	4
myeloid cell development	4
protein homotetramerization	4
non-recombinational repair	4
osteoclast differentiation	4
immunoglobulin mediated immune response	4
B cell mediated immunity	4
negative regulation of NF-kappaB transcription factor activity	4
cardiac ventricle formation	3
cardioblast proliferation	3
cytidine catabolic process	3
protein retention in ER lumen	3
cytidine deamination	3
cytidine metabolic process	3
fatty acid derivative catabolic process	3
regulation of cardioblast proliferation	3
xenobiotic catabolic process	3
vitamin D biosynthetic process	3
regulation of single stranded viral RNA replication via double stranded DNA intermediate	3
positive regulation of gluconeogenesis	3
positive regulation of cytolysis	3
loop of Henle development	3
response to forskolin	3
cellular response to forskolin	3
regulation of mesoderm formation	3
Wnt signaling pathway involved in heart development	3
regulation of cell communication by electrical coupling	3
skeletal myofibril assembly	3
rostrocaudal neural tube patterning	3
positive regulation of catecholamine secretion	3
maintenance of sister chromatid cohesion	3
maintenance of mitotic sister chromatid cohesion	3
maintenance of apical/basal cell polarity	3
single stranded viral RNA replication via double stranded DNA intermediate	3
engulfment of apoptotic cell	3
negative regulation by host of viral process	3
maintenance of epithelial cell apical/basal polarity	3
pyrimidine ribonucleoside catabolic process	3
behavioral response to pain	3
cartilage morphogenesis	3
3'-UTR-mediated mRNA destabilization	3
response to platelet aggregation inhibitor	3
cellular response to electrical stimulus	3
Wnt signaling pathway involved in midbrain dopaminergic neuron differentiation	3
regulation of respiratory gaseous exchange by neurological system process	3
glial cell fate commitment	3
telencephalon regionalization	3
maternal behavior	3
peripheral nervous system neuron differentiation	3
peripheral nervous system neuron development	3
ureter development	3
positive regulation of macrophage migration	3
urea metabolic process	3
negative regulation of intracellular estrogen receptor signaling pathway	3
vitamin transmembrane transport	3
fat-soluble vitamin biosynthetic process	3
dicarboxylic acid biosynthetic process	3
IMP metabolic process	3
phospholipase C-activating dopamine receptor signaling pathway	3
parental behavior	3
cellular response to ethanol	3
response to dopamine	3
cellular response to dopamine	3
adaptive thermogenesis	3
positive regulation of cell fate commitment	3
negative regulation of peptidyl-threonine phosphorylation	3
lateral mesoderm development	3
negative regulation of focal adhesion assembly	3
convergent extension	3
JAK-STAT cascade involved in growth hormone signaling pathway	3
ectodermal placode formation	3
ectodermal placode morphogenesis	3
nitrogen cycle metabolic process	3
mRNA cleavage involved in mRNA processing	3
regulation of production of miRNAs involved in gene silencing by miRNA	3
positive regulation of interleukin-8 secretion	3
endodermal cell fate commitment	3
segment specification	3
chondrocyte proliferation	3
regulation of respiratory system process	3
atrial septum morphogenesis	3
retina vasculature development in camera-type eye	3
ectodermal placode development	3
regulation of inclusion body assembly	3
fatty acid transmembrane transport	3
negative regulation of adherens junction organization	3
G-protein coupled acetylcholine receptor signaling pathway	3
activation of protein kinase A activity	3
negative regulation of cAMP-mediated signaling	3
regulation of centriole replication	3
anterograde synaptic vesicle transport	3
regulation of production of small RNA involved in gene silencing by RNA	3
positive regulation of transforming growth factor beta production	3
synaptic vesicle cytoskeletal transport	3
synaptic vesicle transport along microtubule	3
midbrain dopaminergic neuron differentiation	3
RNA splicing, via endonucleolytic cleavage and ligation	3
positive regulation of transcription of Notch receptor target	3
cardioblast differentiation	3
maintenance of cell polarity	3
protein localization to endosome	3
